id;student_code;full_name;date_of_birth;gender;address;phone_number;email;notes;status;date_enrollment;clas_name;course_year;created_by;created_date;last_modified_by;last_modified_date
1;smoothly phooey;inasmuch for woot;2025-04-24T10:05:25;Others;gah;plan;Jane.Huel@yahoo.com;healthily integer;Withdrawn;2025-04-23T23:04:01;incidentally;chunder;mmm;2025-04-24T11:21:11;yippee pish;2025-04-24T02:32:54
2;where;what reproachfully or;2025-04-24T05:39:59;F;blah;why vaguely unlike;Norris_Moen@hotmail.com;even;Studying;2025-04-24T12:53:29;interesting;wildly lox and;however scar;2025-04-24T15:23:21;uh-huh until;2025-04-23T17:33:01
3;failing cone;drat;2025-04-24T05:47:54;Others;marimba;ick devastation;Theodora47@gmail.com;evil;Studying;2025-04-23T23:42:44;cuckoo polyester;solicit critical;closely trench membership;2025-04-24T09:27:31;hydrolyze now great;2025-04-23T15:49:14
4;inexperienced;round;2025-04-24T13:21:58;M;yum vivaciously correctly;gadzooks;Deshawn_Klein25@gmail.com;indolent till questionably;Deferment;2025-04-24T15:30:47;yuck;corny;as properly barring;2025-04-23T20:27:43;incinerate as scoop;2025-04-24T12:40:46
5;per;oxygenate crooked matter;2025-04-24T01:03:33;F;unabashedly chairperson;solidly intermesh;Ian68@yahoo.com;why;Deferment;2025-04-23T17:15:42;whup;pfft gah um;yahoo adult from;2025-04-23T20:18:21;pace best bog;2025-04-23T16:43:59
6;misappropriate ah brr;when lightly;2025-04-23T15:49:08;M;mozzarella more devise;grandson;Michele_Pfeffer14@yahoo.com;about geez;Deferment;2025-04-24T09:46:06;into woot;duh seemingly;blight really down;2025-04-23T20:11:54;yahoo proper;2025-04-23T21:56:17
7;gee;clear;2025-04-23T18:25:12;M;utilized;ingratiate inscribe;Lavonne72@yahoo.com;furthermore blend formation;Withdrawn;2025-04-24T14:59:00;fibre;truly coarse as;yuck pfft since;2025-04-24T01:24:22;tragic;2025-04-24T12:35:58
8;amidst;another whether;2025-04-24T05:23:37;Others;that;huzzah even;Brianne.Cummings-Olson42@yahoo.com;yum;Graduated;2025-04-24T03:37:19;inasmuch;whenever;probe pfft;2025-04-24T12:13:14;coolly voluminous mesh;2025-04-24T05:49:18
9;lest;enraged psst;2025-04-24T10:43:27;Others;fragrant;before;Emmie74@hotmail.com;including;Studying;2025-04-23T19:56:40;nor aside;longingly above poor;quietly;2025-04-24T15:19:54;splendid westernise;2025-04-24T02:06:37
10;typewriter plagiarise rim;meh jiggle against;2025-04-24T14:52:40;F;hence wilted insecure;excepting;Tamia.Bogisich@hotmail.com;edge excepting;Deferment;2025-04-24T09:59:25;cheetah;ack book against;lest fast;2025-04-24T02:36:30;spectacles strange;2025-04-24T10:50:03
