id;teachers_code;name;email;phone_number;start_date;end_date;position;qualification;status;notes;created_by;created_date;last_modified_by;last_modified_date
1;sans into;save;Kaitlyn3@gmail.com;below ha;2025-04-24T01:50:00;2025-04-24T15:15:39;ViceDean;MSc;false;dock ha;please jealous with;2025-04-23T21:07:50;indolent sadly than;2025-04-23T21:53:28
2;babushka metal brook;extension;Orland76@hotmail.com;hopelessly seldom gripper;2025-04-24T16:03:43;2025-04-23T22:28:34;Dean;PhD;true;tribe;miserably aw accomplished;2025-04-24T13:20:17;once opposite sit;2025-04-24T12:36:06
3;longingly;muted;Jacey9@hotmail.com;why;2025-04-24T02:19:49;2025-04-24T10:07:02;Dean;PhD;false;about jaggedly powerfully;team diligently place;2025-04-24T00:25:50;when spew;2025-04-23T18:10:45
4;unlike;diversity gadzooks kindheartedly;Rigoberto.Kunde5@hotmail.com;overdub wherever;2025-04-23T19:52:26;2025-04-24T03:33:14;Dean;AssociateProfessor;false;after spiffy pfft;neaten icebreaker;2025-04-24T09:50:20;why rightfully yawningly;2025-04-24T15:26:58
5;pace sailor little;esteemed that;Nikolas_Gorczany@yahoo.com;atrium anti making;2025-04-24T08:33:10;2025-04-24T05:50:58;ViceDean;AssociateProfessor;true;pepper;ack yowza gown;2025-04-23T23:53:57;snow alert;2025-04-24T15:31:19
6;under;whistle despite monster;Ernie25@gmail.com;birth;2025-04-23T21:22:26;2025-04-23T22:44:33;Dean;AssociateProfessor;false;proliferate dispense serialize;misjudge;2025-04-24T04:17:34;vice concerning;2025-04-24T15:37:45
7;despite useless;that whereas softly;Delilah.Turner@hotmail.com;officially for procurement;2025-04-23T22:30:13;2025-04-24T11:59:33;Dean;PhD;false;of solder for;acidly;2025-04-23T18:58:21;towards;2025-04-24T05:30:36
8;minus provided;aside neglected;Rolando_Strosin@yahoo.com;duh lid;2025-04-23T23:31:58;2025-04-24T14:30:12;ViceDean;AssociateProfessor;true;intermesh blah availability;so;2025-04-24T08:53:47;per yieldingly duh;2025-04-24T01:46:39
9;suspiciously embarrassment proofread;aftermath upwardly;Colleen.Ritchie48@hotmail.com;of pish;2025-04-24T08:52:19;2025-04-24T11:22:18;Dean;MSc;false;till ew;aboard broadly unless;2025-04-24T10:48:58;enormously psst;2025-04-24T08:24:21
10;anti officially who;openly slushy nor;Eleanore.Wilkinson27@gmail.com;phooey;2025-04-24T07:58:10;2025-04-24T01:18:22;ViceDean;PhD;false;sternly sway bus;until;2025-04-23T20:02:58;immense sunny;2025-04-24T05:26:26
